filename,bytes,duration,episode
9272376-one-year-anniversary-of-artsakh-war-can-the-opp-reorg-tarc-2-0-ep-90-september-26-2021.mp3,35508981,2955,90
9234801-independence-day-pashinyan-s-turkish-overtures-goris-kapan-highway-ep-89-sep-19-2021.mp3,23864180,1984,89
9146182-pashinyan-shuns-nk-reconciliation-2-0-taliban-2-0-state-of-world-affairs-political-analysis-ep-88-sep-5-2021.mp3,28371021,2360,88
9108070-syunik-blocked-and-unblocked-5-year-plan-approved-parliamentary-dynamics-ep-87-august-29-2021.mp3,29533955,2457,87
9074863-5-year-plan-russia-rearming-armenia-press-freedoms-curtailed-panelist-topics-ep-86-august-22-2021.mp3,33599359,2796,86
9043256-lebanon-afghanistan-armenian-parliament-artsakh-ep-85-aug-15-2021.mp3,46414507,3864,85
8965910-instability-on-armenia-azerbaijan-borders-commission-on-44-daywar-first-session-of-the-8th-parliament-ep-84-aug-1-2021.mp3,39718941,3306,84
8953422-unblocking-the-south-caucasus-fact-or-fiction-ep-83-august-1-2021-recorded-june-14-2021.mp3,57665905,4801,83
8952307-calls-for-a-commission-to-analyze-the-defeat-in-the-2020-artsakh-war-ep-82-july-31-2021.mp3,45571933,3793,82
8932991-escalation-in-yeraskh-gunpoint-diplomacy-armenian-emigration-guests-trip-report-ep-81-july-25-2021.mp3,37766302,3143,81
8904370-armenian-foreign-policy-between-war-and-peace-ep-80-july-22-2021.mp3,38086865,3170,80
8897075-const-court-decision-new-pm-appts-aliyev-threats-russian-generals-in-yerevan-ep-78-july-18-2021.mp3,29599164,2462,79
8855705-putin-pashinyan-constitutional-court-steel-out-of-velvet-podcast-s-year-in-review-ep-78-july-11-2021.mp3,43538499,3624,78
8788049-preserving-armenian-heritage-simon-maghakian-talks-with-lori-khatchadourian-and-christina-maranci-ep-77-june-30-2021.mp3,36333481,3024,77
8781690-armenian-elections-recap-protests-in-artsakh-ep-76-june-27-2021.mp3,27383808,2278,76
8737014-aram-navasardyan-how-to-explain-the-mpg-polling-discrepancy-ep-75-june-21-2021.mp3,29134211,2424,75
8736754-elections-az-az-negotiations-erdogan-in-az-biden-meets-erdogan-putin-ep-74-june-20-2021.mp3,39460276,3284,74
8728915-robert-markarian-analyzing-party-platforms-in-june-20-parliamentary-elections-ep-73-june-20-2021.mp3,39206644,3263,73
8724705-aleksandr-khachaturyan-on-the-2021-armenian-elections-ep-72-june-18-2021.mp3,42659145,3551,72
8724144-apram-krpeyan-hayastan-dashinq-elections-and-postwar-outlook-ep-71-june-18-2021.mp3,26973155,2244,71
8712155-meltdown-at-the-mfa-philip-reeker-s-visit-15-pows-return-latest-polls-ep-70-june-13-2021.mp3,36674156,3052,70
8688379-arf-dashnaktsutyun-roadmap-challenges-conversation-with-giro-manoyan-ep-69-june-11-2021.mp3,41786527,3478,69
8669387-armenia-superpowers-and-the-new-cold-war-ep-68-june-8-2021.mp3,40329142,3357,68
8658018-iran-foreign-relations-upcoming-elections-ep-66-06-07-2021.mp3,29755466,2475,67
8656698-kocharyan-closes-in-on-pashinyan-s-lead-in-election-polls-pashinyan-visits-europe-ep-66-june-6-2021.mp3,40008824,3330,66
8617147-tensions-on-the-border-latest-iri-mpg-polls-election-politics-ep-65-may-30-2021.mp3,38351515,3192,65
8608960-ep-64-05-29-2021.mp3,37313544,3105,64
8584216-a-conversation-with-narek-margaryan-ep-63-05-25-2021.mp3,22381394,1861,63
8583764-border-update-leaked-docs-azerbaijan-in-the-csto-new-mpg-poll-elections-ep-62-may-23-2021.mp3,36326827,3023,62
8532990-azerbaijan-s-incursion-into-syunik-lavrov-s-visit-to-yerevan-and-baku-electoral-politics-ep-61-may-16-2021.mp3,45228766,3765,61
8448365-armenia-russia-iran-russia-iran-armenia-election-latest-polls-sargsyan-ep-60-may-2-2021.mp3,38866244,3235,60
8404309-pm-s-roadmap-na-polls-syunik-recognized-stepanakert-armenians-in-space-ep-59-apr-25-2021.mp3,50871470,4235,59
